country,measure,p,d,q,AIC,BIC,AICc,loglik
G20,ASPR,1,1,2,238.03,244.02,239.46,-115.02
G20,ASPR,1,2,0,245.7,248.63,246.11,-120.85
G20,ASPR,1,2,1,233.45,237.84,234.3,-113.72
G20,ASPR,1,2,2,239.95,245.81,241.43,-115.97
G20,ASPR,2,0,0,279.55,285.65,280.93,-135.77
G20,ASPR,2,0,1,258.1,265.73,260.24,-124.05
G20,ASPR,2,0,2,252.1,261.26,255.21,-120.05
G20,ASPR,2,1,0,248.75,253.24,249.58,-121.38
G20,ASPR,2,1,1,239.88,245.87,241.31,-115.94
G20,ASPR,2,1,2,239.87,247.35,242.09,-114.93
G20,ASPR,2,2,0,240.82,245.22,241.68,-117.41
G20,ASPR,2,2,1,233.88,239.75,235.36,-112.94
G20,ASPR,2,2,2,234.78,242.11,237.09,-112.39
G20,ASIR,0,0,1,251.9,256.48,252.7,-122.95
G20,ASIR,0,0,2,213.95,220.05,215.33,-102.97
G20,ASIR,0,1,0,153.86,155.36,153.99,-75.93
G20,ASIR,0,1,1,116.63,119.62,117.03,-56.32
G20,ASIR,0,1,2,85.31,89.8,86.14,-39.66
G20,ASIR,0,2,0,93.88,95.34,94.01,-45.94
G20,ASIR,0,2,1,67.53,70.46,67.95,-31.77
G20,ASIR,0,2,2,55.27,59.67,56.13,-24.64
G20,ASIR,1,0,0,166.41,170.99,167.21,-80.21
G20,ASIR,1,0,1,129.05,135.16,130.43,-60.53
G20,ASIR,1,0,2,97.49,105.12,99.63,-43.75
G20,ASIR,1,1,0,98.31,101.31,98.71,-47.16
G20,ASIR,1,1,1,72.08,76.57,72.91,-33.04
G20,ASIR,1,1,2,59.38,65.37,60.81,-25.69
G20,ASIR,1,2,0,75.17,78.1,75.58,-35.58
G20,ASIR,1,2,1,60.52,64.92,61.38,-27.26
G20,ASIR,1,2,2,57.21,63.07,58.69,-24.6
G20,ASIR,2,0,0,104.72,110.83,106.1,-48.36
G20,ASIR,2,0,1,79.01,86.64,81.15,-34.5
G20,ASIR,2,0,2,67.96,77.12,71.07,-27.98
G20,ASIR,2,1,0,73.2,77.69,74.03,-33.6
G20,ASIR,2,1,1,62.09,68.08,63.52,-27.05
G20,ASIR,2,1,2,60.83,68.31,63.05,-25.41
G20,ASIR,2,2,0,68.73,73.13,69.59,-31.36
G20,ASIR,2,2,1,60.67,66.53,62.15,-26.33
G20,ASIR,2,2,2,62.01,69.34,64.32,-26.01
G20,ASDR,0,0,1,175.4,179.98,176.2,-84.7
G20,ASDR,0,0,2,139.87,145.98,141.25,-65.94
G20,ASDR,0,1,0,89.15,90.65,89.28,-43.57
G20,ASDR,0,1,1,61.13,64.12,61.53,-28.57
G20,ASDR,0,1,2,57.85,62.34,58.68,-25.93
G20,ASDR,0,2,0,58.56,60.03,58.7,-28.28
G20,ASDR,0,2,1,55.95,58.88,56.36,-25.97
G20,ASDR,0,2,2,56.66,61.06,57.52,-25.33
G20,ASDR,1,0,0,99.42,104.0,100.22,-46.71
G20,ASDR,1,0,1,71.29,77.4,72.67,-31.65
G20,ASDR,1,0,2,67.72,75.36,69.87,-28.86
G20,ASDR,1,1,0,59.07,62.07,59.47,-27.54
G20,ASDR,1,1,1,53.85,58.33,54.67,-23.92
G20,ASDR,1,1,2,55.75,61.74,57.18,-23.88
G20,ASDR,1,2,0,57.8,60.73,58.21,-26.9
G20,ASDR,1,2,1,56.42,60.82,57.28,-25.21
G20,ASDR,1,2,2,55.48,61.35,56.96,-23.74
G20,ASDR,2,0,0,66.68,72.78,68.05,-29.34
G20,ASDR,2,0,1,62.63,70.26,64.77,-26.31
G20,ASDR,2,0,2,64.44,73.6,67.55,-26.22
G20,ASDR,2,1,0,54.85,59.34,55.68,-24.42
G20,ASDR,2,1,1,55.51,61.49,56.93,-23.75
G20,ASDR,2,1,2,57.69,65.17,59.91,-23.84
G20,ASDR,2,2,0,57.73,62.13,58.59,-25.87
G20,ASDR,2,2,1,56.41,62.27,57.89,-24.2
G20,ASDR,2,2,2,57.1,64.43,59.41,-23.55
